Feature_A,Feature_B,Feature_C,Feature_D,Feature_E,Feature_F,Feature_G,Feature_H,Feature_I,Feature_J,Feature_K,Feature_L,Feature_M,Feature_N,Label
5.3,B_4,11784.7,D_7,1.2,F_2,G_1,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.5,B_3,53858.3,D_3,0.7,F_5,G_8,H_1,I_2,J_1,367.4,0.0,4.0,N_1,Yes
2.5,B_3,6035.8,D_6,1.0,F_1,G_6,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.6,B_2,20652.0,D_1,1.3,F_1,G_7,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.1,B_3,28697.0,D_1,1.3,F_2,G_1,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.2,B_3,11636.5,D_2,0.9,F_2,G_1,H_3,I_1,J_2,0.0,0.0,2.0,N_1,Yes
3.7,,8736.9,D_5,0.5,F_3,,H_5,I_1,J_2,0.0,0.0,4.0,N_1,Yes
3.0,B_3,14918.4,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.5,N_1,No
4.5,B_3,15162.7,D_6,1.0,F_3,G_1,H_5,I_1,J_2,0.0,0.0,4.5,N_1,Yes
1.9,B_3,24046.8,D_6,1.0,F_4,G_6,H_4,I_1,J_2,0.0,160.2,4.0,N_1,Yes
2.9,B_2,22789.0,D_1,1.3,F_1,G_4,H_1,I_2,J_1,0.0,0.0,4.0,N_1,Yes
2.7,B_3,29887.1,D_1,1.3,F_1,G_5,H_1,I_3,J_1,0.0,0.0,4.0,N_13,Yes
5.6,B_3,43502.2,D_6,1.0,F_3,G_5,H_1,I_1,J_2,0.0,0.0,5.0,N_1,Yes
4.7,B_3,2695.0,D_4,1.4,F_3,G_6,H_1,I_1,J_2,0.0,0.0,0.6,N_1,Yes
1.7,B_3,29530.8,D_3,0.7,F_1,G_14,H_4,I_1,J_2,0.0,0.0,2.0,N_1,Yes
2.7,B_3,13415.2,D_2,0.9,F_2,G_10,H_2,I_1,J_1,0.0,0.0,4.5,N_1,Yes
4.0,B_3,17973.5,D_8,1.1,F_3,G_1,H_5,I_1,J_2,0.0,0.0,5.0,N_1,Yes
5.4,B_3,16527.8,D_6,1.0,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
4.6,B_3,15548.9,D_4,1.4,F_2,G_2,H_2,I_1,J_1,0.0,0.0,5.0,N_1,No
3.0,,15728.9,D_3,0.7,F_1,,H_5,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.3,B_3,25216.8,D_6,1.0,F_1,G_5,H_1,I_2,J_1,0.0,0.0,4.0,N_1,Yes
2.9,B_1,19135.5,D_4,1.4,F_1,G_4,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.4,B_3,15457.1,D_6,1.0,F_1,G_1,H_4,I_3,J_1,0.0,0.0,2.0,N_1,Yes
3.4,B_3,7279.3,D_1,1.3,F_1,G_5,H_1,I_1,J_2,0.0,0.0,1.5,N_1,Yes
2.7,B_3,14795.1,D_2,0.9,F_1,G_10,H_6,I_1,J_1,0.0,0.0,0.1,N_1,Yes
7.5,B_3,20006.8,D_6,1.0,F_2,G_2,H_2,I_1,J_1,0.0,0.0,3.5,N_1,No
3.7,B_4,2905.4,D_6,1.0,F_2,G_1,H_2,I_1,J_1,0.0,0.0,4.2,N_1,No
5.8,B_3,22560.3,D_5,0.5,F_3,G_9,H_1,I_2,J_1,0.0,0.0,4.0,N_1,Yes
2.5,B_3,3440.2,D_1,1.3,F_1,G_2,H_1,I_1,J_1,0.0,159.0,6.0,N_1,Yes
2.7,B_3,70410.8,D_1,1.3,F_1,G_4,H_1,I_1,J_1,0.0,0.0,5.0,N_1,Yes
4.2,B_3,19054.3,D_6,1.0,F_2,G_11,H_3,I_1,J_2,0.0,0.0,4.0,N_1,No
3.5,,16486.6,D_13,0.6,F_3,,H_1,I_1,J_1,0.0,0.0,9.9,N_1,Yes
5.0,B_3,42113.2,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.1,B_3,11907.9,D_2,0.9,F_2,G_6,H_2,I_1,J_1,0.0,0.0,4.9,N_1,No
6.4,,14371.6,D_4,1.4,F_2,,H_2,I_1,J_1,0.0,0.0,0.2,N_1,Yes
3.5,B_3,10360.5,D_3,0.7,F_2,G_9,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.3,B_3,19626.6,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
2.2,B_3,21547.7,D_6,1.0,F_1,G_8,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
5.7,B_1,14145.9,D_6,1.0,F_3,G_4,H_5,I_1,J_2,0.0,0.0,4.0,N_1,Yes
2.2,B_3,8399.8,D_6,1.0,F_1,G_6,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.3,B_3,21463.5,D_2,0.9,F_2,G_2,H_2,I_2,J_1,0.0,0.0,5.0,N_1,Yes
2.6,B_3,21126.5,D_6,1.0,F_4,G_7,H_6,I_2,J_2,0.0,0.0,3.5,N_24,Yes
3.8,B_3,12007.4,D_1,1.3,F_2,G_10,H_2,I_1,J_1,0.0,0.0,5.0,N_1,No
4.0,B_3,8599.5,D_13,0.6,F_2,G_10,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
