entry_id,Feature_A,Feature_B,Feature_C,Feature_D,Feature_E,Feature_F,Feature_G,Feature_H,Feature_I,Feature_J,Feature_K,Feature_L,Feature_M,Feature_N
entry_58,5.2,B_3,7583.9,D_6,1.0,F_2,G_11,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_59,5.5,B_1,20049.7,D_4,1.4,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.5,N_1
entry_60,6.2,B_3,12224.6,D_6,1.0,F_1,G_7,H_1,I_1,J_2,861.4,0.0,3.9,N_1
entry_61,5.1,,20395.3,D_2,0.9,F_2,,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_62,4.7,,22410.8,D_2,0.9,F_7,,H_5,I_1,J_2,0.0,0.0,4.0,N_1
entry_63,2.8,B_3,10338.9,D_4,1.4,F_3,G_6,H_4,I_1,J_2,0.0,0.0,4.0,N_1
entry_64,1.8,,21650.8,D_16,0.8,F_1,,H_1,I_1,J_1,0.0,0.0,2.5,N_1
entry_65,3.2,B_3,11563.1,D_6,1.0,F_1,G_1,H_1,I_1,J_2,410.1,0.0,5.0,N_1
entry_66,6.4,B_5,5044.2,D_5,0.5,F_1,G_1,H_6,I_1,J_1,0.0,0.0,4.0,N_1
entry_67,3.8,B_5,11658.0,D_1,1.3,F_2,G_4,H_3,I_1,J_2,0.0,0.0,2.0,N_1
entry_68,3.9,B_4,23548.5,D_7,1.2,F_1,G_2,H_1,I_1,J_1,0.0,0.0,4.2,N_1
entry_69,2.6,B_1,20327.9,D_11,1.5,F_1,G_4,H_1,I_3,J_1,246.3,0.0,5.0,N_4
entry_70,2.8,B_3,16167.4,D_2,0.9,F_1,G_10,H_5,I_1,J_2,0.0,0.0,4.0,N_1
entry_71,2.2,B_3,27904.1,D_6,1.0,F_1,G_3,H_4,I_2,J_1,0.0,0.0,1.0,N_1
entry_72,2.4,B_3,20168.0,D_2,0.9,F_1,G_1,H_5,I_1,J_1,0.0,0.0,6.0,N_1
entry_73,3.9,B_3,24844.5,D_12,0.3,F_2,G_3,H_2,I_1,J_1,0.0,0.0,4.0,N_5
entry_74,2.2,B_5,39902.0,D_6,1.0,F_1,G_1,H_1,I_1,J_2,0.0,0.0,5.5,N_1
entry_75,5.0,B_3,15704.3,D_3,0.7,F_3,G_5,H_1,I_2,J_2,0.0,0.0,4.0,N_1
entry_76,3.8,B_5,13444.4,D_6,1.0,F_2,G_12,H_2,I_1,J_1,0.0,0.0,7.2,N_1
entry_77,7.3,,8405.3,D_2,0.9,F_7,,H_1,I_1,J_2,0.0,0.0,1.5,N_1
entry_78,4.0,B_3,22058.9,D_6,1.0,F_2,G_6,H_3,I_1,J_2,0.0,0.0,4.0,N_1
entry_79,2.1,B_3,30685.0,D_2,0.9,F_1,G_8,H_4,I_1,J_1,0.0,0.0,4.0,N_1
entry_80,4.3,B_3,48486.1,D_6,1.0,F_2,G_7,H_2,I_1,J_1,406.4,0.0,3.8,N_1
entry_81,2.1,,23039.7,D_6,1.0,F_1,,H_4,I_1,J_2,0.0,0.0,0.5,N_1
entry_82,4.9,B_3,16833.7,D_12,0.3,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_83,6.0,,19111.8,D_2,0.9,F_2,,H_2,I_1,J_1,0.0,184.8,4.0,N_1
entry_84,5.1,B_3,20295.6,D_8,1.1,F_2,G_6,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_85,3.5,B_3,13899.2,D_4,1.4,F_2,G_4,H_6,I_1,J_1,729.8,0.0,4.0,N_1
entry_86,3.3,B_2,23527.1,D_6,1.0,F_1,G_5,H_1,I_1,J_1,0.0,0.0,3.5,N_1
entry_87,5.9,B_3,26123.2,D_3,0.7,F_3,G_9,H_1,I_1,J_1,0.0,0.0,4.0,N_1
entry_88,6.0,B_3,8805.5,D_11,1.5,F_2,G_4,H_2,I_1,J_1,378.1,0.0,1.6,N_1
entry_89,4.1,B_3,34216.4,D_6,1.0,F_3,G_6,H_1,I_1,J_2,0.0,0.0,1.5,N_1
entry_90,6.2,,25009.1,D_1,1.3,F_3,,H_1,I_1,J_1,0.0,0.0,0.5,N_1
entry_91,3.2,B_6,4680.7,D_2,0.9,F_2,G_7,H_2,I_1,J_1,9999.9,0.0,4.0,N_1
entry_92,4.0,B_3,23760.1,D_1,1.3,F_1,G_6,H_1,I_5,J_2,0.0,0.0,5.5,N_1
entry_93,5.2,B_3,20131.0,D_1,1.3,F_3,G_2,H_1,I_1,J_1,0.0,0.0,4.0,
entry_94,4.0,B_2,3306.8,D_2,0.9,F_2,G_9,H_2,I_1,J_1,0.0,0.0,5.0,N_1
entry_95,4.2,B_6,9650.9,D_6,1.0,F_2,G_2,H_2,I_3,J_1,0.0,0.0,6.0,N_21
entry_96,4.3,B_3,17419.6,D_2,0.9,F_1,G_5,H_5,I_2,J_2,0.0,0.0,4.0,N_1
entry_97,4.5,B_3,11292.9,D_9,0.4,F_3,G_10,H_1,I_2,J_2,0.0,0.0,3.5,N_1
entry_98,5.2,B_3,27014.2,D_8,1.1,F_5,G_2,H_5,I_2,J_2,0.0,0.0,6.0,N_1
entry_99,2.2,B_3,15471.3,D_2,0.9,F_3,G_6,H_4,I_1,J_1,0.0,0.0,4.0,N_1
entry_100,4.0,B_3,17660.2,D_2,0.9,F_3,G_5,H_1,I_2,J_1,0.0,0.0,4.0,N_1
entry_101,3.6,B_3,34749.1,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,0.0,5.0,N_1
entry_102,4.1,B_3,19362.6,D_2,0.9,F_4,G_7,H_5,I_1,J_2,0.0,0.0,4.0,N_1
entry_103,4.8,B_2,16458.2,D_6,1.0,F_2,G_9,H_2,I_1,J_1,729.8,0.0,6.0,N_1
entry_104,6.6,B_3,18533.6,D_2,0.9,F_7,G_6,H_6,I_1,J_2,0.0,0.0,3.5,N_1
entry_105,3.5,B_3,16452.6,D_2,0.9,F_2,G_5,H_2,I_1,J_1,0.0,0.0,4.0,N_30
entry_106,2.5,B_5,11783.3,D_1,1.3,F_1,G_4,H_1,I_1,J_2,0.0,0.0,3.5,N_1
entry_107,4.8,B_3,15692.6,D_1,1.3,F_3,G_1,H_1,I_1,J_1,0.0,0.0,4.0,N_1
entry_108,3.1,B_3,5602.6,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_109,3.9,B_2,17433.0,D_6,1.0,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_110,5.8,B_3,37218.1,D_2,0.9,F_3,G_6,H_5,I_1,J_2,0.0,0.0,4.0,N_1
entry_111,3.4,B_3,45450.8,D_1,1.3,F_2,G_4,H_2,I_1,J_1,0.0,0.0,6.5,N_12
entry_112,5.2,B_3,16302.7,D_2,0.9,F_3,G_7,H_5,I_1,J_2,0.0,0.0,5.0,N_1
entry_113,4.2,B_3,10260.6,D_1,1.3,F_2,G_11,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_114,4.5,B_3,37188.6,D_1,1.3,F_1,G_4,H_1,I_1,J_1,0.0,0.0,4.6,N_1
entry_115,1.7,B_3,16011.8,D_16,0.8,F_1,G_6,H_1,I_1,J_2,0.0,0.0,1.0,
entry_116,6.2,B_6,11872.5,D_2,0.9,F_2,G_2,H_2,I_2,J_1,2005.1,0.0,7.2,N_1
entry_117,4.0,B_3,26069.6,D_2,0.9,F_1,G_1,H_1,I_1,J_2,0.0,0.0,4.0,N_1
entry_118,3.3,B_3,8649.2,D_2,0.9,F_1,G_8,H_1,I_1,J_1,0.0,0.0,8.7,N_1
entry_119,2.1,B_3,17712.5,D_6,1.0,F_1,G_3,H_1,I_1,J_1,0.0,0.0,2.0,N_1
entry_120,3.2,B_3,3273.2,D_2,0.9,F_2,G_4,H_2,I_1,J_1,0.0,0.0,5.0,N_1
entry_121,2.8,B_3,25984.0,D_1,1.3,F_2,G_6,H_2,I_1,J_1,0.0,0.0,6.0,N_1
entry_122,4.9,B_6,15868.5,D_2,0.9,F_2,G_1,H_3,I_1,J_2,0.0,237.7,4.0,N_1
entry_123,5.1,B_3,9879.1,D_6,1.0,F_2,G_6,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_124,2.3,,19144.4,D_2,0.9,F_1,,H_4,I_1,J_1,0.0,0.0,4.0,N_1
entry_125,4.5,B_5,16442.7,D_1,1.3,F_3,G_4,H_5,I_1,J_2,0.0,0.0,4.0,N_1
entry_126,2.4,,11915.6,D_1,1.3,F_1,,H_4,I_1,J_1,0.0,0.0,4.0,N_1
entry_127,6.5,B_5,20502.4,D_2,0.9,F_2,G_5,H_2,I_1,J_1,0.0,0.0,0.8,N_1
entry_128,4.5,B_3,27551.7,D_2,0.9,F_3,G_7,H_5,I_1,J_2,0.0,0.0,4.0,N_1
entry_129,2.2,B_5,13751.0,D_2,0.9,F_1,G_9,H_4,I_1,J_1,0.0,0.0,4.0,N_1
entry_130,4.6,B_5,11155.8,D_6,1.0,F_3,G_10,H_4,I_1,J_2,0.0,0.0,4.0,N_1
entry_131,2.4,B_3,8812.6,D_2,0.9,F_1,G_7,H_1,I_1,J_1,0.0,0.0,4.0,N_1
entry_132,2.3,B_3,12958.3,D_2,0.9,F_1,G_3,H_4,I_2,J_2,0.0,0.0,1.6,N_1
entry_133,4.5,B_3,15314.1,D_2,0.9,F_2,G_1,H_2,I_1,J_1,0.0,0.0,4.0,
entry_134,4.1,B_6,39728.0,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,0.0,7.2,
entry_135,2.9,B_3,46453.6,D_1,1.3,F_2,G_5,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_136,3.2,B_3,23104.3,D_2,0.9,F_2,G_7,H_2,I_1,J_1,517.8,0.0,4.8,N_1
entry_137,3.6,B_3,35761.9,D_1,1.3,F_2,G_2,H_3,I_1,J_2,0.0,0.0,6.0,N_11
entry_138,6.3,B_2,15971.5,D_13,0.6,F_2,G_10,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_139,2.5,,4110.7,D_1,1.3,F_4,,H_1,I_1,J_1,0.0,0.0,4.0,N_10
entry_140,6.2,B_3,22495.3,D_13,0.6,F_2,G_10,H_2,I_2,J_1,0.0,0.0,4.0,N_1
entry_141,5.5,B_6,25864.8,D_13,0.6,F_7,G_8,H_1,I_1,J_1,0.0,0.0,4.0,N_1
entry_142,3.1,B_3,35668.9,D_1,1.3,F_1,G_9,H_1,I_1,J_1,0.0,0.0,4.0,N_1
entry_143,4.8,B_3,6260.5,D_2,0.9,F_3,G_1,H_1,I_1,J_2,0.0,0.0,3.5,N_1
entry_144,6.0,,19102.4,D_2,0.9,F_2,,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_145,3.2,B_3,9044.6,D_13,0.6,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_146,4.3,B_3,4888.2,D_2,0.9,F_3,G_1,H_6,I_1,J_2,0.0,0.0,4.0,N_1
entry_147,6.2,,23552.1,D_2,0.9,F_2,,H_2,I_1,J_1,0.0,0.0,4.8,N_1
entry_148,2.8,B_3,11496.7,D_1,1.3,F_2,G_4,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_149,5.2,B_3,32195.9,D_6,1.0,F_2,G_11,H_2,I_2,J_1,0.0,0.0,4.0,N_1
entry_150,2.4,B_6,14240.4,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_151,6.7,B_6,10617.5,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,239.2,7.5,N_1
entry_152,3.7,B_3,7024.0,D_2,0.9,F_1,G_5,H_4,I_3,J_2,0.0,0.0,4.0,N_13
entry_153,3.7,B_5,11776.0,D_8,1.1,F_1,G_12,H_1,I_1,J_1,465.0,0.0,4.0,N_1
entry_154,3.6,B_3,8189.6,D_1,1.3,F_1,G_4,H_1,I_1,J_2,0.0,0.0,4.5,N_1
entry_155,2.2,B_3,30382.2,D_13,0.6,F_1,G_7,H_4,I_1,J_1,0.0,0.0,4.0,N_1
entry_156,3.4,B_3,4552.2,D_2,0.9,F_1,G_5,H_1,I_1,J_1,0.0,0.0,4.0,N_1
entry_157,2.5,B_3,63283.4,D_2,0.9,F_1,G_7,H_4,I_2,J_1,0.0,0.0,4.0,N_1
entry_158,1.7,B_3,3260.7,D_13,0.6,F_1,G_9,H_4,I_1,J_1,0.0,0.0,2.0,N_1
entry_159,4.8,B_3,19477.2,D_7,1.2,F_2,G_6,H_2,I_1,J_1,0.0,190.2,4.0,N_1
entry_160,5.0,B_3,16232.7,D_1,1.3,F_2,G_1,H_2,I_1,J_1,0.0,190.2,5.0,
entry_161,3.5,B_4,13393.5,D_1,1.3,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_162,1.8,B_3,30285.9,D_2,0.9,F_1,G_6,H_4,I_1,J_1,0.0,0.0,2.0,N_1
entry_163,4.8,B_3,12112.4,D_2,0.9,F_2,G_2,H_2,I_1,J_1,0.0,0.0,5.0,N_1
entry_164,2.6,B_1,17703.5,D_3,0.7,F_3,G_5,H_5,I_1,J_2,0.0,0.0,4.0,N_1
entry_165,4.7,B_6,19289.4,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,190.2,4.5,N_1
entry_166,7.5,B_1,11386.8,D_10,1.6,F_2,G_4,H_2,I_2,J_1,0.0,0.0,2.0,N_1
entry_167,3.2,B_3,49674.3,D_1,1.3,F_1,G_4,H_4,I_1,J_1,0.0,0.0,4.0,N_1
entry_168,2.3,B_1,15642.3,D_1,1.3,F_1,G_4,H_4,I_1,J_2,0.0,0.0,2.0,N_1
entry_169,2.8,B_3,48086.1,D_2,0.9,F_2,G_10,H_2,I_1,J_1,0.0,0.0,4.5,N_1
entry_170,1.8,,16553.2,D_16,0.8,F_1,,H_4,I_1,J_1,0.0,0.0,2.5,N_1
entry_171,4.2,B_3,17593.5,D_2,0.9,F_3,G_8,H_1,I_1,J_1,0.0,198.0,4.6,N_1
entry_172,2.5,B_3,19994.7,D_2,0.9,F_2,G_1,H_3,I_1,J_2,0.0,0.0,4.0,N_1
entry_173,2.9,B_3,23444.7,D_6,1.0,F_3,G_1,H_1,I_2,J_2,0.0,0.0,4.0,N_1
entry_174,3.0,B_5,31928.0,D_2,0.9,F_2,G_12,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_175,2.0,,11125.2,D_6,1.0,F_1,,H_4,I_1,J_2,0.0,0.0,3.0,N_1
entry_176,6.5,B_2,2290.7,D_9,0.4,F_2,G_9,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_177,6.0,B_3,21669.0,D_6,1.0,F_2,G_4,H_2,I_1,J_1,0.0,0.0,4.0,
entry_178,2.0,B_3,16816.5,D_6,1.0,F_1,G_5,H_4,I_1,J_1,0.0,0.0,3.0,N_1
entry_179,5.0,B_3,8884.2,D_1,1.3,F_2,G_8,H_2,I_1,J_1,729.8,0.0,4.0,N_1
entry_180,4.9,B_4,42028.2,D_6,1.0,F_1,G_1,H_5,I_2,J_2,0.0,0.0,4.0,N_1
entry_181,2.8,B_3,18934.6,D_2,0.9,F_1,G_3,H_4,I_1,J_1,0.0,0.0,4.8,N_1
entry_182,2.4,B_3,15218.9,D_2,0.9,F_1,G_7,H_4,I_1,J_1,0.0,0.0,4.0,N_1
entry_183,3.1,B_3,12046.0,D_6,1.0,F_2,G_9,H_2,I_1,J_1,0.0,0.0,5.0,N_1
entry_184,2.1,B_3,16096.8,D_6,1.0,F_1,G_3,H_4,I_1,J_1,0.0,0.0,4.0,N_1
entry_185,3.9,B_5,30161.4,D_3,0.7,F_2,G_5,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_186,2.0,B_3,22539.5,D_9,0.4,F_1,G_10,H_6,I_1,J_2,0.0,0.0,6.0,N_5
entry_187,4.4,B_3,14720.6,D_6,1.0,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_188,3.4,B_2,11198.5,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,0.0,5.0,N_1
entry_189,4.5,B_2,24737.9,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_190,3.4,B_3,25569.3,D_2,0.9,F_2,G_1,H_3,I_1,J_2,0.0,0.0,2.0,N_1
entry_191,4.7,B_3,30413.3,D_6,1.0,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.5,N_1
entry_192,5.1,B_3,14271.7,D_10,1.6,F_3,G_7,H_1,I_1,J_2,478.7,0.0,6.0,N_1
entry_193,3.1,B_1,25583.0,D_7,1.2,F_1,G_1,H_4,I_2,J_2,0.0,0.0,4.5,N_1
entry_194,7.5,B_3,18742.4,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,0.0,2.0,N_1
entry_195,4.5,B_4,18197.0,D_2,0.9,F_2,G_1,H_2,I_1,J_1,0.0,167.2,4.0,N_1
entry_196,4.6,B_1,22237.4,D_2,0.9,F_2,G_5,H_2,I_1,J_1,0.0,0.0,4.3,N_1
entry_197,2.7,B_3,5865.4,D_8,1.1,F_5,G_1,H_5,I_1,J_2,0.0,0.0,4.0,N_1
entry_198,4.1,B_3,9504.7,D_8,1.1,F_2,G_1,H_3,I_1,J_2,768.8,0.0,4.4,N_1
entry_199,2.8,B_5,18027.1,D_1,1.3,F_2,G_3,H_2,I_1,J_1,0.0,0.0,6.5,N_1
entry_200,2.5,B_3,31564.3,D_2,0.9,F_2,G_5,H_2,I_1,J_1,0.0,0.0,3.0,N_1
entry_201,3.8,B_5,18539.4,D_1,1.3,F_2,G_4,H_3,I_1,J_2,768.8,0.0,4.0,N_1
entry_202,2.5,B_3,13197.6,D_1,1.3,F_1,G_2,H_4,I_1,J_1,0.0,0.0,5.5,N_1
entry_203,2.3,B_3,21454.2,D_6,1.0,F_1,G_1,H_4,I_1,J_1,0.0,0.0,2.0,N_1
entry_204,3.6,B_4,21854.2,D_7,1.2,F_2,G_1,H_3,I_1,J_2,0.0,0.0,4.0,N_1
entry_205,3.4,B_5,9772.3,D_11,1.5,F_2,G_4,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_206,5.5,B_3,17748.4,D_3,0.7,F_2,G_5,H_2,I_2,J_1,0.0,167.2,4.0,N_1
entry_207,2.4,B_3,7351.4,D_6,1.0,F_1,G_6,H_1,I_3,J_2,0.0,0.0,5.0,N_13
entry_208,3.7,B_5,14432.2,D_8,1.1,F_1,G_1,H_1,I_1,J_2,0.0,0.0,4.3,N_1
entry_209,6.1,,22239.5,D_2,0.9,F_2,,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_210,4.9,B_3,18617.2,D_2,0.9,F_2,G_7,H_2,I_1,J_1,768.8,0.0,4.5,N_1
entry_211,2.5,B_3,8962.5,D_2,0.9,F_1,G_1,H_4,I_3,J_2,0.0,0.0,4.0,N_1
entry_212,2.5,B_3,51133.1,D_1,1.3,F_1,G_6,H_1,I_1,J_1,0.0,0.0,3.8,N_1
entry_213,9.0,B_3,4038.8,D_1,1.3,F_1,G_2,H_1,I_1,J_1,0.0,0.0,5.5,N_1
entry_214,2.9,B_3,15761.2,D_1,1.3,F_1,G_6,H_1,I_1,J_2,332.5,0.0,4.5,N_1
entry_215,7.6,,31250.0,D_12,0.3,F_7,,H_5,I_1,J_2,0.0,0.0,4.0,N_1
entry_216,3.5,B_3,24100.1,D_2,0.9,F_2,G_10,H_2,I_1,J_1,0.0,0.0,4.4,N_1
entry_217,3.6,B_3,41674.5,D_1,1.3,F_2,G_4,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_218,3.6,B_3,10741.0,D_2,0.9,F_2,G_6,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_219,4.7,B_3,18352.2,D_6,1.0,F_2,G_2,H_3,I_2,J_2,0.0,0.0,4.0,N_1
entry_220,2.2,B_3,4364.6,D_2,0.9,F_2,G_7,H_4,I_1,J_1,0.0,0.0,4.0,N_1
entry_221,4.2,B_3,10776.2,D_4,1.4,F_2,G_4,H_2,I_1,J_1,0.0,0.0,4.0,N_1
entry_222,2.1,B_3,22618.1,D_1,1.3,F_1,G_3,H_1,I_1,J_1,0.0,0.0,4.0,N_1
entry_223,1.7,B_3,31692.9,D_16,0.8,F_1,G_3,H_4,I_1,J_1,0.0,0.0,2.0,N_1
entry_224,2.7,B_3,22514.2,D_6,1.0,F_1,G_7,H_4,I_1,J_1,0.0,0.0,4.0,N_1
